source,target,similarity,weight
29,821,0.8771607726360904,0.9385803863180452
348,445,0.876787726771209,0.9383938633856045
693,707,0.8765567552577642,0.9382783776288821
1028,1035,0.8763261346660886,0.9381630673330443
341,398,0.8758236189682134,0.9379118094841067
12,77,0.8756605122852982,0.937830256142649
1030,1064,0.8746852913129585,0.9373426456564793
301,389,0.8745873751065825,0.9372936875532912
29,849,0.874584097128892,0.937292048564446
313,317,0.8741456544917536,0.9370728272458768
1089,1117,0.8737706357621831,0.9368853178810915
559,667,0.8737253466170725,0.9368626733085362
373,378,0.873447665179537,0.9367238325897684
200,848,0.873378564917096,0.936689282458548
303,406,0.8733243521283097,0.9366621760641549
200,856,0.8732856540985238,0.9366428270492619
340,385,0.8729594318177968,0.9364797159088984
513,614,0.8728435735300892,0.9364217867650446
1005,1083,0.8728114232086543,0.9364057116043272
717,740,0.8727736553403443,0.9363868276701721
1013,1164,0.8722792236096972,0.9361396118048486
117,164,0.8721088106907063,0.9360544053453532
200,840,0.8720447318576557,0.9360223659288278
519,1161,0.871781690555691,0.9358908452778455
818,993,0.8716351415667808,0.9358175707833905
336,340,0.8715683414977596,0.9357841707488799
131,782,0.8710403396272383,0.9355201698136191
714,860,0.8709720925487945,0.9354860462743972
200,823,0.8706774453651761,0.935338722682588
1021,1159,0.8705109039282304,0.9352554519641152
529,919,0.8702572966030537,0.9351286483015269
314,396,0.8702447460466657,0.9351223730233329
533,541,0.870121539480121,0.9350607697400606
735,744,0.8699621436450289,0.9349810718225144
1066,1077,0.8696730938276026,0.9348365469138014
1035,1094,0.8690328512747998,0.9345164256373999
51,61,0.8689591454707372,0.9344795727353685
835,869,0.8688638548550961,0.9344319274275481
386,412,0.8688089854552635,0.9344044927276318
382,460,0.8687337952337272,0.9343668976168635
514,672,0.8685120232355268,0.9342560116177634
717,728,0.8682806063618069,0.9341403031809035
733,738,0.8682148014671358,0.9341074007335679
1027,1117,0.8681956214782975,0.9340978107391488
377,437,0.8679725552531966,0.9339862776265984
242,297,0.8679300542750396,0.9339650271375197
1094,1117,0.8679093878217307,0.9339546939108654
1053,1118,0.8676706726647139,0.9338353363323569
260,262,0.8673365342790402,0.9336682671395201
1059,1126,0.8671763009745619,0.9335881504872809
219,220,0.8668248848113393,0.9334124424056697
148,175,0.8667246756929958,0.9333623378464979
720,744,0.8664328497596966,0.9332164248798482
12,821,0.8662797924370402,0.9331398962185201
514,566,0.8661333335406161,0.933066666770308
784,833,0.8660827562397332,0.9330413781198665
338,1197,0.8660500183203796,0.9330250091601898
435,457,0.866045692974201,0.9330228464871004
436,437,0.8656879447114847,0.9328439723557423
931,947,0.8654595286512072,0.9327297643256036
308,333,0.8651803062016256,0.9325901531008127
111,112,0.8650131979894793,0.9325065989947396
376,377,0.8649792940109127,0.9324896470054563
785,797,0.8649136623581394,0.9324568311790697
341,430,0.8648877305041732,0.9324438652520866
1100,1196,0.8646035212166319,0.9323017606083159
306,330,0.8645827247182885,0.9322913623591442
468,714,0.8645176284535158,0.9322588142267578
1031,1136,0.8641377714026885,0.9320688857013443
1039,1067,0.8641361949344101,0.9320680974672051
208,651,0.8641102344930583,0.9320551172465292
354,442,0.863964291878756,0.931982145939378
506,678,0.8638228759682368,0.9319114379841185
1102,1151,0.8637485931219543,0.9318742965609772
529,830,0.863717704253892,0.931858852126946
301,396,0.8636069739314185,0.9318034869657092
31,795,0.8635008069267409,0.9317504034633705
717,738,0.8632965841316778,0.9316482920658389
882,904,0.8631313576444851,0.9315656788222426
316,396,0.8628716700978715,0.9314358350489358
315,374,0.8628475649088025,0.9314237824544013
363,438,0.862607314763328,0.931303657381664
821,849,0.8624930542450163,0.9312465271225081
317,341,0.8623804729465883,0.9311902364732941
388,399,0.8623671932942749,0.9311835966471375
855,859,0.8623185249114749,0.9311592624557374
1028,1094,0.8620960292946012,0.9310480146473006
46,65,0.8617668166786218,0.9308834083393109
466,469,0.861574572389312,0.930787286194656
634,689,0.861329226347968,0.930664613173984
349,391,0.8612945903132525,0.9306472951566263
757,816,0.861186000041179,0.9305930000205895
503,688,0.8610883689781326,0.9305441844890663
583,654,0.860808414871702,0.930404207435851
316,398,0.8607439453398054,0.9303719726699027
735,745,0.8607402293921329,0.9303701146960665
166,888,0.8607258301056436,0.9303629150528219
65,696,0.8605983766227794,0.9302991883113897
383,393,0.8605914202546104,0.9302957101273053
201,298,0.8604740890441424,0.9302370445220711
649,990,0.8604325954629594,0.9302162977314796
61,71,0.8601672808707367,0.9300836404353683
301,412,0.8601244483396986,0.9300622241698493
